2023-05-11 17:05:26.686 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-05-11 17:05:26.696 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-05-11 17:05:27.030 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-05-11 17:05:27.663 [main] INFO  o.a.t.u.net.NioEndpoint.certificate - Connector [https-jsse-nio-9292], TLS virtual host [_default_], certificate type [UNDEFINED] configured from [file:/C:/Users/vedik/eclipse-workspace1/Employeemanagmentsystem/bin/main/employee.p12] using alias [employee_ssl] and with trust store [null]
2023-05-11 17:05:27.686 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9292 (https) with context path ''
2023-05-11 17:05:27.696 [main] INFO  c.e.EmployeemanagmentsystemApplication - Started EmployeemanagmentsystemApplication in 5.593 seconds (process running for 7.204)
2023-05-11 17:05:41.961 [https-jsse-nio-9292-exec-6] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-11 17:05:41.961 [https-jsse-nio-9292-exec-6] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-11 17:05:41.963 [https-jsse-nio-9292-exec-6] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2023-05-11 17:05:42.012 [https-jsse-nio-9292-exec-6] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.example.controller.EmployeeController
2023-05-11 17:05:42.017 [https-jsse-nio-9292-exec-6] INFO  c.e.controller.EmployeeController - [getEmployeeById] info message
2023-05-11 17:05:42.017 [https-jsse-nio-9292-exec-6] WARN  c.e.controller.EmployeeController - [getEmployeeById] warn message
2023-05-11 17:05:42.017 [https-jsse-nio-9292-exec-6] ERROR c.e.controller.EmployeeController - [getEmployeeById] error message
2023-05-11 17:05:59.370 [https-jsse-nio-9292-exec-7] INFO  c.e.controller.EmployeeController - [getEmployeeById] info message
2023-05-11 17:05:59.370 [https-jsse-nio-9292-exec-7] WARN  c.e.controller.EmployeeController - [getEmployeeById] warn message
2023-05-11 17:05:59.370 [https-jsse-nio-9292-exec-7] ERROR c.e.controller.EmployeeController - [getEmployeeById] error message
2023-05-11 17:20:17.997 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=2m22s698ms864µs300ns).
2023-05-11 18:32:35.334 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h9m17s256ms296µs).
